Date,Byron Buxton,Christian Walker,Paul Goldschmidt,Mitch Haniger,Jesus Sanchez,Ozzie Albies,George Springer,Salvador Perez,Aaron Judge,Seiya Suzuki,Tommy Edman,Rowdy Tellez,Mike Trout,Brad Miller,Connor Joe,Marcell Ozuna,Francisco Lindor,Jose Ramirez,Mookie Betts,Bryce Harper,Shohei Ohtani,C. J. Cron,Corey Seager,Jean Segura,Hunter Renfroe,Pete Alonso,Willy Adames,Danny Jansen,Joc Pederson,Yordan Alvarez,Kyle Schwarber,Vladimir Guerrero,Seth Brown,Austin Riley,Giancarlo Stanton,Anthony Rizzo,Nolan Arenado,Ty France
2022-04-04,3.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0
2022-04-11,3.0,2.0,0.0,3.0,2.0,5.0,2.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,0.0,2.0,3.0,5.0,1.0,2.0,0.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0
2022-04-18,6.0,4.0,0.0,3.0,3.0,6.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,6.0,4.0,4.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0
2022-04-25,7.0,5.0,2.0,3.0,3.0,6.0,6.0,5.0,8.0,4.0,3.0,4.0,6.0,2.0,4.0,4.0,4.0,7.0,3.0,4.0,4.0,8.0,4.0,2.0,5.0,4.0,5.0,2.0,6.0,7.0,7.0,6.0,2.0,7.0,4.0,9.0,6.0,5.0
2022-05-02,9.0,6.0,2.0,3.0,3.0,6.0,6.0,5.0,9.0,4.0,3.0,7.0,7.0,3.0,4.0,4.0,5.0,7.0,5.0,6.0,6.0,9.0,4.0,4.0,6.0,7.0,8.0,2.0,6.0,8.0,7.0,7.0,2.0,7.0,6.0,9.0,7.0,5.0
2022-05-09,11.0,7.0,4.0,3.0,3.0,6.0,7.0,6.0,12.0,4.0,4.0,8.0,9.0,5.0,4.0,5.0,6.0,8.0,7.0,9.0,8.0,9.0,7.0,6.0,9.0,8.0,9.0,3.0,7.0,11.0,9.0,7.0,3.0,7.0,10.0,10.0,8.0,5.0
2022-05-16,11.0,11.0,7.0,3.0,4.0,6.0,8.0,6.0,17.0,4.0,4.0,9.0,12.0,6.0,4.0,8.0,6.0,10.0,10.0,9.0,9.0,11.0,8.0,6.0,9.0,11.0,9.0,3.0,7.0,12.0,10.0,7.0,4.0,8.0,11.0,10.0,9.0,6.0
2022-05-23,11.0,12.0,11.0,3.0,5.0,6.0,9.0,6.0,18.0,4.0,4.0,10.0,13.0,7.0,4.0,10.0,8.0,13.0,15.0,10.0,11.0,13.0,10.0,6.0,9.0,13.0,9.0,6.0,11.0,14.0,11.0,9.0,5.0,12.0,11.0,11.0,9.0,7.0
2022-05-30,12.0,14.0,12.0,3.0,7.0,6.0,11.0,8.0,21.0,4.0,5.0,10.0,13.0,7.0,4.0,10.0,9.0,14.0,16.0,13.0,11.0,14.0,11.0,6.0,9.0,16.0,9.0,7.0,13.0,16.0,14.0,13.0,5.0,14.0,11.0,13.0,10.0,8.0
2022-06-06,18.0,16.0,13.0,3.0,8.0,8.0,12.0,9.0,24.0,4.0,6.0,10.0,16.0,7.0,5.0,11.0,9.0,16.0,16.0,15.0,13.0,14.0,12.0,6.0,10.0,18.0,11.0,7.0,13.0,17.0,16.0,15.0,8.0,16.0,13.0,15.0,11.0,9.0
